name,SI,isocode,malaria_index,meanrh,meantemp,itx,r,prop_tropics,coast,river,meanalt,city1800,lat,lon,province,N,tse,perturb_TSI1,perturb_TSI2,abslat,slavery_indigenous,intensive,plow,animals,central,female_ag,optimum,ln_popd_murdock,gathering,hunting,fishing,husbandry,agriculture
"ASHANTI",0.703693568706512,"GHA",22.7017498016357,68.1271362304688,25.8933696746826,1764.04113769531,0.562649846076965,1,1,1,0.0202115997672081,1,7,-2,32,12.0736494064331,0.850119411945343,1.25365519523621,1.21189117431641,7,1,0,0,0,1,0,1,2.42351317405701,0,1,2,0,7
"ASSINI",0.625025689601898,"CIV",12.9140996932983,78.3631973266602,25.3789501190186,1988.77563476563,0.636058449745178,1,1,1,0.00514602800831199,0,5,-4,32,13.3182020187378,1.2592625617981,1.92515504360199,1.45014142990112,5,1,0,0,1,1,NA,1,0.910767078399658,0,1,3,1,6
"ATTIE",0.815095484256744,"CIV",24.731819152832,78.3631973266602,25.3789501190186,1988.77563476563,0.636058449745178,1,0,1,0.0110621796920896,0,6,-4,32,13.3182020187378,1.2592625617981,1.92515504360199,1.45014142990112,6,1,0,0,1,0,NA,1,2.32051539421082,0,1,0,1,8
"AULLIMIND",0.0963230729103088,"MLI",8.27633762359619,26.4525165557861,28.9256076812744,765.155090332031,0.244893431663513,1,0,0,0.383390694856644,0,8,2,15,6.20625638961792,-1.0787695646286,-2.54586577415466,0.259185552597046,8,1,NA,NA,NA,NA,NA,0,-1.15561854839325,0,1,0,6,3
"AWUNA",0.647346973419189,"GHA",27.5910091400146,45.058349609375,28.1072807312012,1266.46765136719,0.354204177856445,1,0,0,0.148212909698486,0,11,-2,12,8.33778953552246,-0.378034055233002,-1.08758056163788,0.634905338287354,11,1,0,0,1,0,NA,0,NA,0,1,1,2,6
"AZANDE",0.789081692695618,"COD",16.0650291442871,64.3780288696289,25.4886608123779,1640.90979003906,0.551568865776062,1,0,1,0.597970902919769,0,5,27,29,11.8830461502075,0.787459075450897,1.28046584129334,1.09811687469482,5,1,0,0,0,1,1,1,1.61960804462433,1,2,1,0,6
"AZJER",0.0919539928436279,"DZA",0,26.3887100219727,23.3968200683594,617.411926269531,0.41737025976181,0.0234976075589657,0,0,0.516180455684662,0,25,10,53,9.50747489929199,0.00649671489372849,0.112194798886776,-0.349957883358002,25,1,1,0,1,1,NA,0,-4.1616415977478,1,1,0,5,3
"BABWA",0.807617425918579,"COD",15.7541999816895,71.7669372558594,25.3826103210449,1821.63220214844,0.595712065696716,1,0,1,0.469123601913452,0,3,25,36,12.6379632949829,1.03563594818115,1.63301825523376,1.27553641796112,3,1,0,0,1,1,1,1,NA,0,2,1,0,7
"BACHAMA",0.798618912696838,"NGA",22.0400905609131,47.3174095153809,26.9206295013428,1273.814453125,0.420960068702698,1,0,1,0.0109186405315995,0,10,12,13,9.57283782958984,0.0279845949262381,-0.14030459523201,0.743906140327454,10,1,1,0,1,1,NA,0,1.8324271440506,0,1,1,2,6
"BADITU",0.410279512405396,"ETH",0.641290009021759,69.3915176391602,18.5061092376709,1284.1669921875,0.136159300804138,1,0,1,0.887731611728668,0,6,38,23,3.88048338890076,-1.8433610200882,-0.100778348743916,-1.87043011188507,6,1,1,0,1,1,0,0,NA,0,0,0,2,8
